"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Rmnd1","GSM2545338",1135,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,66084,"required for meiotic nuclear division 1 homolog (S. cerevisiae), transcript variant X2","ENSMUSG00000019763","0610042C05Rik","10","protein_coding",NA,"RMND1"
"Gpr35","GSM2545346",40,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,64095,"G protein-coupled receptor 35, transcript variant X5","ENSMUSG00000026271",NA,"1","protein_coding","decreased colon length","GPR35"
"Slc16a10","GSM2545338",215,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,72472,"solute carrier family 16 (monocarboxylic acid transporters), member 10, transcript variant X1","ENSMUSG00000019838","2610103N14Rik","10","protein_coding","abnormal amino acid level","SLC16A10"
"Cyp4v3","GSM2545362",777,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,102294,"cytochrome P450, family 4, subfamily v, polypeptide 3","ENSMUSG00000079057",NA,"8","protein_coding","abnormal eye morphology","CYP4V2"
"Rxrg","GSM2545350",31,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,20183,"retinoid X receptor gamma, transcript variant 1","ENSMUSG00000015843","Nr2b3","1","protein_coding","abnormal bone mineralization","RXRG"
"Lum","GSM2545380",150,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,17022,"lumican","ENSMUSG00000036446","Ldc","10","protein_coding","abnormal tail morphology","LUM"
"Fam78b","GSM2545362",1878,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,226610,"family with sequence similarity 78, member B, transcript variant 1","ENSMUSG00000060568","C030014K22Rik","1","protein_coding",NA,"FAM78B"
"Dtd2","GSM2545352",339,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,328092,"D-tyrosyl-tRNA deacylase 2","ENSMUSG00000020956","4930578F06Rik","12","protein_coding",NA,"DTD2"
"Ttll4","GSM2545339",1821,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,67534,"tubulin tyrosine ligase-like family, member 4, transcript variant X2","ENSMUSG00000033257","4632407P03Rik","1","protein_coding","abnormal retina morphology","TTLL4"
"Lrrn2","GSM2545342",3214,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,16980,"leucine rich repeat protein 2, neuronal","ENSMUSG00000026443","5730406J09Rik","1","protein_coding","abnormal behavior","LRRN2"
"Mrpl35","GSM2545336",1018,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,66223,"mitochondrial ribosomal protein L35","ENSMUSG00000052962","1110066C01Rik","6","protein_coding",NA,"MRPL35"
"Tacr1","GSM2545353",53,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,21336,"tachykinin receptor 1, transcript variant X2","ENSMUSG00000030043","neurokinin receptor 1","6","protein_coding","abnormal body temperature homeostasis","TACR1"
"Ccdc136","GSM2545337",3450,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,232664,"coiled-coil domain containing 136, transcript variant X2","ENSMUSG00000029769","4921511K06Rik","6","protein_coding","abnormal sperm nucleus morphology","CCDC136"
"Nrsn2","GSM2545340",1812,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,228777,"neurensin 2, transcript variant X1","ENSMUSG00000059361","LOC228777","2","protein_coding","decreased circulating creatine kinase level","NRSN2"
"Tac4","GSM2545337",14,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,93670,"tachykinin 4","ENSMUSG00000020872","hemokinin I (HK-1)","11","protein_coding","increased pro-B cell number","TAC4"
"Fam20b","GSM2545344",3309,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,215015,"family with sequence similarity 20, member B, transcript variant X1","ENSMUSG00000033557","C530043G21Rik","1","protein_coding","abnormal digestive system development","FAM20B"
"Tmem33","GSM2545337",6353,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,67878,"transmembrane protein 33, transcript variant 3","ENSMUSG00000037720","1110006G02Rik","5","protein_coding",NA,"TMEM33"
"Fzd4","GSM2545343",1342,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,14366,"frizzled homolog 4 (Drosophila)","ENSMUSG00000049791","Fz4","7","protein_coding","edema","FZD4"
"Fam117b","GSM2545363",4197,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,72750,"family with sequence similarity 117, member B","ENSMUSG00000041040","2810425F24Rik","1","protein_coding","abnormal bone mineralization","FAM117B"
"Slc26a7","GSM2545363",266,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,208890,"solute carrier family 26, member 7, transcript variant X2","ENSMUSG00000040569",NA,"4","protein_coding","abnormal digestive system physiology","SLC26A7"
"Zranb3","GSM2545353",213,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,226409,"zinc finger, RAN-binding domain containing 3, transcript variant 2","ENSMUSG00000036086","4933425L19Rik","1","protein_coding","decreased circulating insulin level","ZRANB3"
"Ccdc149","GSM2545350",1113,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,100503884,"coiled-coil domain containing 149, transcript variant X1","ENSMUSG00000045790","Gm447","5","protein_coding",NA,"CCDC149"
"Igfbp2","GSM2545353",2980,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,16008,"insulin-like growth factor binding protein 2","ENSMUSG00000039323","IGFBP-2","1","protein_coding","decreased heart weight","IGFBP2"
"Mael","GSM2545349",2,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,98558,"maelstrom homolog (Drosophila)","ENSMUSG00000040629","4933405K18Rik","1","protein_coding","abnormal DNA methylation during gametogenesis","MAEL"
"Unc45a","GSM2545362",1346,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,101869,"unc-45 homolog A (C. elegans), transcript variant X2","ENSMUSG00000030533",NA,"7","protein_coding","decreased heart rate","UNC45A"
"Lpar1","GSM2545348",2349,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,14745,"lysophosphatidic acid receptor 1, transcript variant X4","ENSMUSG00000038668","Edg2","4","protein_coding","preweaning lethality complete penetrance","LPAR1"
"Gm28609","GSM2545348",4,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,102633532,"predicted gene 28609, transcript variant X3","ENSMUSG00000101102",NA,"1","lncRNA",NA,NA
"Gpr179","GSM2545353",44,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,217143,"G protein-coupled receptor 179","ENSMUSG00000070337","5330439C02Rik","11","protein_coding","abnormal cone electrophysiology","GPR179"
"Gpr61","GSM2545343",188,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,229714,"G protein-coupled receptor 61","ENSMUSG00000046793",NA,"3","protein_coding","abnormal bone structure","GPR61"
"Farp2","GSM2545341",308,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,227377,"FERM, RhoGEF and pleckstrin domain protein 2","ENSMUSG00000034066","D030026M03Rik","1","protein_coding","decreased circulating free fatty acids level","FARP2"
"Trhr","GSM2545346",30,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,22045,"thyrotropin releasing hormone receptor, transcript variant X2","ENSMUSG00000038760","TRH-R1","15","protein_coding","abnormal circulating ghrelin level","TRHR"
"Mettl16","GSM2545338",1058,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,67493,"methyltransferase like 16, transcript variant X3","ENSMUSG00000010554","2610100D03Rik","11","protein_coding","abnormal coat/hair pigmentation","METTL16"
"Rgs1","GSM2545343",4,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,50778,"regulator of G-protein signaling 1","ENSMUSG00000026358","BL34","1","protein_coding","abnormal B cell physiology","RGS1"
"Rabl2","GSM2545349",943,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,68708,"RAB, member RAS oncogene family-like 2, transcript variant X2","ENSMUSG00000022621","1110031N17Rik","15","protein_coding","abnormal autopod morphology","RABL2B"
"Sh3bp4","GSM2545380",539,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,98402,"SH3-domain binding protein 4","ENSMUSG00000036206","BOG25","1","protein_coding","decreased circulating insulin level","SH3BP4"
"Htr2b","GSM2545342",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,15559,"5-hydroxytryptamine (serotonin) receptor 2B, transcript variant X2","ENSMUSG00000026228","5-HT2B","1","protein_coding","decreased lean body mass","HTR2B"
"Acadl","GSM2545337",1926,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,11363,"acyl-Coenzyme A dehydrogenase, long-chain","ENSMUSG00000026003","C79855","1","protein_coding","abnormal adaptive thermogenesis","ACADL"
"Dbpht2","GSM2545348",107,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,386753,"DNA binding protein with his-thr domain","ENSMUSG00000029878","Spot2","12","lncRNA","decreased bone mineral density",NA
"Ankrd29","GSM2545354",1164,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,225187,"ankyrin repeat domain 29","ENSMUSG00000057766","G630054C21Rik","18","protein_coding",NA,"ANKRD29"
"Jakmip1","GSM2545339",828,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,76071,"janus kinase and microtubule interacting protein 1, transcript variant X7","ENSMUSG00000063646","5830437M04Rik","5","protein_coding","abnormal cerebellum morphology","JAKMIP1"
"Vps33a","GSM2545350",5258,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,77573,"vacuolar protein sorting 33A (yeast), transcript variant X1","ENSMUSG00000029434","3830421M04Rik","5","protein_coding","embryonic lethality prior to organogenesis",NA
"Mir149","GSM2545348",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,387167,"microRNA 149","ENSMUSG00000065470","Mirn149","1","miRNA","increased circulating aspartate transaminase level",NA
"Spata2l","GSM2545345",590,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,78779,"spermatogenesis associated 2-like, transcript variant X2","ENSMUSG00000033594","2610039E05Rik","8","protein_coding",NA,"SPATA2L"
"Slc6a16","GSM2545345",9,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,381884,"solute carrier family 6, member 16","ENSMUSG00000094152","LOC381884","7","protein_coding",NA,"SLC6A16"
"Txndc11","GSM2545354",1414,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,106200,"thioredoxin domain containing 11, transcript variant X3","ENSMUSG00000022498","2810408E11Rik","16","protein_coding",NA,"TXNDC11"
"Ppfia4","GSM2545340",10579,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,68507,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4, transcript variant X5","ENSMUSG00000026458","1110008G13Rik","1","protein_coding",NA,"PPFIA4"
"Brsk2","GSM2545336",8578,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,75770,"BR serine/threonine kinase 2, transcript variant 4","ENSMUSG00000053046","4833424K13Rik","7","protein_coding","no abnormal phenotype detected","BRSK2"
"Aqp4","GSM2545340",16974,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,11829,"aquaporin 4","ENSMUSG00000024411","aquaporin-4","18","protein_coding","abnormal astrocyte physiology","AQP4"
"Grid1","GSM2545340",789,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,14803,"glutamate receptor, ionotropic, delta 1, transcript variant X1","ENSMUSG00000041078","GluRdelta1","14","protein_coding","abnormal auditory brainstem response","GRID1"
"Pgpep1l","GSM2545343",12,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,78444,"pyroglutamyl-peptidase I-like, transcript variant X1","ENSMUSG00000030553","C330024D12Rik","7","protein_coding",NA,"PGPEP1L"
"Plekhm3","GSM2545346",1743,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,241075,"pleckstrin homology domain containing, family M, member 3, transcript variant X2","ENSMUSG00000051344","9430067K14Rik","1","protein_coding",NA,"PLEKHM3"
"Slc13a1","GSM2545345",116,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,55961,"solute carrier family 13 (sodium/sulfate symporters), member 1","ENSMUSG00000029700","Nas1","6","protein_coding","abnormal enzyme/coenzyme activity","SLC13A1"
"Cdh19","GSM2545343",609,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,227485,"cadherin 19, type 2, transcript variant X3","ENSMUSG00000047216",NA,"1","protein_coding","decreased lean body mass","CDH19"
"Serf2","GSM2545338",3475,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,378702,"small EDRK-rich factor 2, transcript variant 3","ENSMUSG00000074884","4F5rel (4F5 related)","2","protein_coding","increased prepulse inhibition",NA
"Slc6a7","GSM2545351",598,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,240332,"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7, transcript variant X7","ENSMUSG00000052026","Prot","18","protein_coding","decreased bone mineral content","SLC6A7"
"Hspd1","GSM2545353",8702,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,15510,"heat shock protein 1 (chaperonin), transcript variant X1","ENSMUSG00000025980","Hsp60","1","protein_coding","abnormal coat/hair pigmentation",NA
"Gm19637","GSM2545336",3,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,100503327,NA,"ENSMUSG00000101130",NA,"1","processed_pseudogene",NA,NA
"Sidt1","GSM2545351",1897,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,320007,"SID1 transmembrane family, member 1, transcript variant X2","ENSMUSG00000022696","B830021E24Rik","16","protein_coding","abnormal kidney morphology","SIDT1"
"Tiprl","GSM2545342",1636,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,226591,"TIP41, TOR signalling pathway regulator-like (S. cerevisiae)","ENSMUSG00000040843","1810011K17Rik","1","protein_coding","abnormal forebrain development","TIPRL"
"Tyrp1","GSM2545339",15,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,22178,"tyrosinase-related protein 1, transcript variant X1","ENSMUSG00000005994","isa","4","protein_coding","abnormal behavior","TYRP1"
"Gtpbp2","GSM2545350",3368,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,56055,"GTP binding protein 2, transcript variant X1","ENSMUSG00000023952","nmf205","17","protein_coding","enlarged lymph nodes","GTPBP2"
"Nsun5","GSM2545354",602,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,100609,"NOL1/NOP2/Sun domain family, member 5, transcript variant X4","ENSMUSG00000000916","9830109N13Rik","5","protein_coding","decreased anxiety-related response","NSUN5"
"Mael","GSM2545362",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,98558,"maelstrom homolog (Drosophila)","ENSMUSG00000040629","4933405K18Rik","1","protein_coding","abnormal DNA methylation during gametogenesis","MAEL"
"Cd180","GSM2545352",58,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,17079,"CD180 antigen","ENSMUSG00000021624","Ly78","13","protein_coding","abnormal humoral immune response","CD180"
"Gna12","GSM2545337",1662,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,14673,"guanine nucleotide binding protein, alpha 12","ENSMUSG00000000149","Galpha12","5","protein_coding","no abnormal phenotype detected","GNA12"
"Gmnn","GSM2545347",109,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,57441,"geminin","ENSMUSG00000006715","Gem","13","protein_coding","abnormal lens morphology","GMNN"
"Noxred1","GSM2545337",98,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,71275,"NADP+ dependent oxidoreductase domain containing 1","ENSMUSG00000072919","4933437F05Rik","12","protein_coding","decreased body length","NOXRED1"
"Atic","GSM2545336",1139,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,108147,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ENSMUSG00000026192","2610509C24Rik","1","protein_coding",NA,"ATIC"
"Hhex","GSM2545347",63,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,15242,"hematopoietically expressed homeobox","ENSMUSG00000024986","Hex","19","protein_coding","abnormal anterior definitive endoderm morphology",NA
"Acer2","GSM2545347",664,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,230379,"alkaline ceramidase 2, transcript variant X2","ENSMUSG00000038007","2410116I05Rik","4","protein_coding","abnormal sphingolipid level","ACER2"
"Tsc22d1","GSM2545362",9747,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,21807,"TSC22 domain family, member 1, transcript variant X9","ENSMUSG00000022010","Egr5","14","protein_coding","abnormal bone marrow cell physiology","TSC22D1"
"Psg16","GSM2545352",1073,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,26436,"pregnancy specific glycoprotein 16, transcript variant X2","ENSMUSG00000066760","bCEA","7","protein_coding","decreased cornea thickness","CEACAM21"
"Cyp3a13","GSM2545354",80,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,13113,"cytochrome P450, family 3, subfamily a, polypeptide 13","ENSMUSG00000029727","IIIAm2","5","protein_coding","no abnormal phenotype detected","CYP3A43"
"Zcchc12","GSM2545343",834,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,72693,"zinc finger, CCHC domain containing 12","ENSMUSG00000036699","2810028A01Rik","X","protein_coding",NA,"ZCCHC12"
"Inpp5j","GSM2545353",6577,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,170835,"inositol polyphosphate 5-phosphatase J","ENSMUSG00000034570","Pib5pa","11","protein_coding","abnormal skin morphology","INPP5J"
"AI504432","GSM2545362",1439,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,229694,"expressed sequence AI504432","ENSMUSG00000056145",NA,"3","lncRNA",NA,NA
"Hmgb3","GSM2545351",591,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,15354,"high mobility group box 3, transcript variant 1","ENSMUSG00000015217","Hmg2a","X","protein_coding","abnormal common lymphocyte progenitor cell morphology","HMGB3"
"Col6a1","GSM2545340",476,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,12833,"collagen, type VI, alpha 1","ENSMUSG00000001119","Col6a-1","10","protein_coding","abnormal diaphragm morphology","COL6A1"
"Smim15","GSM2545350",2299,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,75616,"small integral membrane protein 15","ENSMUSG00000071180","2810008M24Rik","13","protein_coding",NA,"SMIM15"
"Bfsp2","GSM2545343",215,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,107993,"beaded filament structural protein 2, phakinin","ENSMUSG00000032556","CP49","9","protein_coding","abnormal cell cytoskeleton morphology","BFSP2"
"Ier3","GSM2545342",464,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,15937,"immediate early response 3","ENSMUSG00000003541","cAMP inducible gene 3","17","protein_coding","abnormal CD4-positive alpha-beta T cell physiology","IER3"
"Zfp677","GSM2545340",194,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,210503,"zinc finger protein 677, transcript variant X1","ENSMUSG00000062743","A830058L05Rik","17","protein_coding",NA,NA
"Dusp27","GSM2545341",9,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,240892,"dual specificity phosphatase 27 (putative), transcript variant 2","ENSMUSG00000026564","C130085G02Rik","1","protein_coding","abnormal lymph node morphology","STYXL2"
"Erp44","GSM2545337",1938,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,76299,"endoplasmic reticulum protein 44","ENSMUSG00000028343","1110001E24Rik","4","protein_coding","decreased circulating insulin level","ERP44"
"Fn3k","GSM2545344",1067,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,63828,"fructosamine 3 kinase, transcript variant X1","ENSMUSG00000025175","2310074G21Rik","11","protein_coding","abnormal cell physiology","FN3K"
"Cx3cl1","GSM2545348",2835,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,20312,"chemokine (C-X3-C motif) ligand 1","ENSMUSG00000031778","CX3C","8","protein_coding","decreased cornea thickness","CX3CL1"
"Zfp941","GSM2545362",1200,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,407812,"zinc finger protein 941","ENSMUSG00000060314","BC066028","7","protein_coding",NA,"ZNF519"
"Gpr55","GSM2545353",3,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,227326,"G protein-coupled receptor 55, transcript variant X2","ENSMUSG00000049608","CTFL","1","protein_coding","abnormal osteoclast differentiation","GPR55"
"Pantr2","GSM2545336",38,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,66620,"POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2","ENSMUSG00000097063","2610207O16Rik","1","lncRNA","abnormal barrel cortex morphology",NA
"Eif2b3","GSM2545363",546,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,108067,"eukaryotic translation initiation factor 2B, subunit 3, transcript variant X1","ENSMUSG00000028683","1190002P15Rik","4","protein_coding","decreased grip strength","EIF2B3"
"Itgb4","GSM2545349",867,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,192897,"integrin beta 4, transcript variant 2","ENSMUSG00000020758","CD104","11","protein_coding","abnormal cornea morphology","ITGB4"
"Sp100","GSM2545350",240,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,20684,"nuclear antigen Sp100, transcript variant X4","ENSMUSG00000026222","A430075G10Rik","1","protein_coding",NA,"SP140"
"Irf2bp2","GSM2545363",2757,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,270110,"interferon regulatory factor 2 binding protein 2","ENSMUSG00000051495","E130305N23Rik","8","protein_coding","abnormal embryonic erythropoiesis","IRF2BP2"
"Col5a3","GSM2545346",430,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,53867,"collagen, type V, alpha 3, transcript variant X1","ENSMUSG00000004098","Pro-alpha3(V)","9","protein_coding","abnormal glucose homeostasis","COL5A3"
"Tiprl","GSM2545340",1846,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,226591,"TIP41, TOR signalling pathway regulator-like (S. cerevisiae)","ENSMUSG00000040843","1810011K17Rik","1","protein_coding","abnormal forebrain development","TIPRL"
"Plcl2","GSM2545353",1761,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,224860,"phospholipase C-like 2, transcript variant X2","ENSMUSG00000038910","Plce2","17","protein_coding","abnormal B cell physiology","PLCL2"
"Rb1cc1","GSM2545339",6410,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,12421,"RB1-inducible coiled-coil 1, transcript variant X2","ENSMUSG00000025907","2900055E04Rik","1","protein_coding","abnormal heart morphology","RB1CC1"
"Myo1b","GSM2545349",857,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,17912,"myosin IB, transcript variant 3","ENSMUSG00000018417",NA,"1","protein_coding",NA,"MYO1B"
"Gm11605","GSM2545352",8,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,667644,NA,"ENSMUSG00000081643",NA,"1","processed_pseudogene",NA,NA
"Nudt9","GSM2545354",1303,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,74167,"nudix (nucleoside diphosphate linked moiety X)-type motif 9, transcript variant X1","ENSMUSG00000029310","1190002C07Rik","5","protein_coding",NA,"NUDT9"
"Zranb3","GSM2545350",225,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,226409,"zinc finger, RAN-binding domain containing 3, transcript variant 2","ENSMUSG00000036086","4933425L19Rik","1","protein_coding","decreased circulating insulin level","ZRANB3"
"Cdk15","GSM2545338",5,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,271697,"cyclin-dependent kinase 15, transcript variant X1","ENSMUSG00000026023","Als2cr7","1","protein_coding","abnormal cholesterol homeostasis","CDK15"
"Gm4852","GSM2545346",5,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,227061,NA,"ENSMUSG00000081185",NA,"1","processed_pseudogene",NA,NA
"Spata2l","GSM2545340",526,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,78779,"spermatogenesis associated 2-like, transcript variant X2","ENSMUSG00000033594","2610039E05Rik","8","protein_coding",NA,"SPATA2L"
"Igdcc4","GSM2545363",2702,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,56741,"immunoglobulin superfamily, DCC subclass, member 4, transcript variant X10","ENSMUSG00000032816","9330155G14Rik","9","protein_coding",NA,"IGDCC4"
"Mgst3","GSM2545363",1911,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,66447,"microsomal glutathione S-transferase 3","ENSMUSG00000026688","2010012L10Rik","1","protein_coding","decreased mean corpuscular volume","MGST3"
"Pkp1","GSM2545351",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,18772,"plakophilin 1","ENSMUSG00000026413",NA,"1","protein_coding","abnormal cell adhesion","PKP1"
"Mndal","GSM2545340",198,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,100040462,"myeloid nuclear differentiation antigen like, transcript variant X3","ENSMUSG00000090272","Ifi212","1","protein_coding",NA,NA
"Arap3","GSM2545349",342,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,106952,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3, transcript variant X3","ENSMUSG00000024451","Centd3","18","protein_coding","decreased circulating serum albumin level","ARAP3"
"Ndufa10","GSM2545344",4072,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,67273,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10","ENSMUSG00000026260","2900053E13Rik","1","protein_coding","abnormal bone structure","NDUFA10"
"Mpo","GSM2545348",12,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,17523,"myeloperoxidase","ENSMUSG00000009350",NA,"11","protein_coding","abnormal metabolism","MPO"
